lat,lon,age (Ma),ORE_TONNAGE_MT,CU_PERCENT,MO_PERCENT,AU_GT,AG_GT,weight
49.86667,-74.23333,2715.2,11.203,0.383, ,0.019, ,2
-34.2268,147.39855,436.4, , , , , ,1
62.25,-158.0,70,14.5,0.09, ,1.2, ,2
42.164,93.0235,322, , , , , ,1
33.06528,-110.79611, ,198.677,0.3, , , ,4
29.99139,115.09917, ,0.553,0.842,0.007, , ,2
-24.13333,-69.08333,41.8,180,0.8, , , ,4
23.43333,121.45,21.5,7.3,0.3, ,0.45, ,2
41.35,110.075, , , , , , ,1
-25.2303,151.617,242.5,200,0.2, ,0.33, ,4
32.79262,-108.07022,59.5,2149,0.299,0.0013,0.005,0.068,6
48.8321,139.7679,78.25, , , , , ,1
51.25001,-123.53562,83.25, , , , , ,1
29.26809,91.90867,21.35, , , , , ,1
29.58333,90.0,13.99,74.627,0.67, ,0.12,5,3
41.24333,74.14333, ,0.38,0.883,0.006,0.43, ,2
42.63642,72.60751,460, , , , , ,1
42.624,23.272,83.25, , , , , ,1
33.06,-110.74528,63.5,201,0.39, ,0.05,1,4
51.37611,-120.07083, ,627.19,0.035,0.056, , ,5
55.26311,-124.54532,183, , , , , ,1
29.67616,92.67804,14.18, , , , , ,1
47.3336,112.6039,290, , , , , ,1
27.9551,99.8572, , , , , , ,1
-22.275,-68.9,32.2,15153,0.434, ,0.04, ,6
45.04332,21.74255,68.75, , , , , ,1
-7.22,106.56,15.2, , , , , ,1
46.09536,22.89993,11.35, , , , , ,1
50.29221,-120.63692, , , , , , ,1
18.5383,121.10814, , , , , , ,1
51.88031,-120.92172, , , , , , ,1
44.25411,-109.72664,44.95, , , , , ,1
-25.6168,151.83,231.5,26.86,0.38, , , ,3
8.82983,-80.66394,34.5,6405,0.301,0.0065,0.05,1.152,6
29.8767,-109.98541,57.5, , , , , ,1
52.81441,-3.93195,477.7,200,0.3, , , ,4
45.55,22.35,65, , , , , ,1
12.18333,122.05, , , , , , ,1
49.74561,-120.53252, , , , , , ,1
55.24921,-124.75922,186.9, , , , , ,1
53.53331,-127.23332,86, , , , , ,1
-20.96306,-68.70833,33.3,9978,0.811,0.0219, , ,6
46.14107,22.90776, ,156.4,0.11, ,0.54, ,4
50.5314,-125.20252, ,0.118,2.5, , , ,2
7.476,126.131,12.81,32.675,0.42, ,0.13, ,3
-21.94144,-68.73692,35.34,648,0.58, , , ,5
17.70266,121.39475, , , , , , ,1
-14.46167,-71.76667,42.5,1186,0.25,0.0075,0.045,2.507,6
41.76694,-114.76694,150,205.113,0.197, , , ,4
32.85011,-108.08391, ,9.3,1.98, , , ,2
46.01722,-112.51111,62.5,5113,0.48,0.033,0.004,4.9,6
-20.90167,-68.88528,36.3,50,0.3,0.1, , ,3
39.4285,38.5024,44.6,122.8,0.1, ,1.7,4.8,4
52.61667,-122.30279,187.7, , , , , ,1
34.49064,-112.58788,64,226.8,0.4,0.0145, , ,4
33.14768,-111.06302,57.5, , , , , ,1
50.17311,-121.20442, , , , , , ,1
40.54694,-117.12667,37.2,56.8,0.48, ,0.77,14,3
32.75,-110.48,61.4,301.99,0.641,0.0123,0.002,1.187,5
32.97032,-107.53392,74.9,301.981,0.225,0.0064,0.079,1.575,5
-33.0529,148.8687,449.1,86,0.364, ,0.322, ,3
-21.6575,119.95778,3425, , , , , ,1
41.145,-105.18611, ,109.76,0.168, ,0.339, ,4
49.33941,-120.55612,201.6,955,0.23, ,0.09,0.806,6
51.00171,-123.13972,83.25, , , , , ,1
38.51667,-118.1167, ,129,0.35, , , ,4
54.22921,-127.26782,48, , , , , ,1
51.03971,-123.37082,80, , , , , ,1
-20.53922,148.29926,132,35,0.16,0.01, , ,3
-20.88889,120.10833,3291,1051.289,0.075,0.0422, ,1.213,6
-14.95222,-71.2625,35.781,336,1.055, ,0.099,3.528,5
24.19262,-105.81608, , , , , , ,1
-14.18111,-72.34806,35.7,1224.504,0.239,0.002,0.132,2.065,6
47.55,-81.93,2636,365.5, , ,0.88, ,5
46.08333,-60.36667,626,0.405,3.15, ,1.2,85,2
50.66471,-120.46832,205,1.448,0.44, ,0.18, ,2
35.48333,-115.13333,94, , , , , ,1
54.28778,-126.81696, , , , , , ,1
-17.04556,-70.70722,53.4,2098.877,0.5,0.0178, , ,6
28.38802,-109.645,55.7,763.772,0.18,0.0217, ,1.208,6
-34.21125,147.39406,436.4,8.7, , , , ,2
-4.01667,-78.88333,147, , , , , ,1
44.03495,-115.78361, ,5592.344,0.064,0.0438, ,2.11,6
29.87046,-109.96206,58.7,67,0.266,0.099, , ,3
62.09,-137.19892,58, , , , , ,1
-33.23448,148.85945,436.5, , , , , ,1
41.6391,97.4736, , , , , , ,1
49.4607,104.9454,290, , , , , ,1
39.9172,46.0429,19.62, , , , , ,1
34.2719,50.3242,21,8,0.5, ,0.75, ,2
40.81,69.63,320,3033,0.36, ,0.35, ,6
